occupation,occupation_name,tip_commission
0,N/A (not applicable),FALSE
10,Chief executives,FALSE
20,General and operations managers,FALSE
30,Legislators,FALSE
40,Advertising and promotions managers,FALSE
50,Marketing and sales managers,TRUE
60,Public relations managers,FALSE
100,Administrative services managers,FALSE
110,Computer and information systems managers,FALSE
120,Financial managers,FALSE
135,Compensation and Benefits Managers,FALSE
136,Human Resources Managers,FALSE
137,Training and Development Managers,FALSE
140,Industrial production managers,FALSE
150,Purchasing managers,FALSE
160,"Transportation, storage, and distribution managers",FALSE
205,"Farmers, Ranchers, and Other Agricultural Managers",FALSE
220,Construction managers,FALSE
230,Education administrators,FALSE
300,Engineering managers,FALSE
310,Food service managers,FALSE
325,Funeral service managers,FALSE
330,Gaming managers,FALSE
340,Lodging managers,FALSE
350,Medical and health services managers,FALSE
360,Natural sciences managers,FALSE
400,Postmasters and mail superintendents,FALSE
410,"Property, real estate, and community association managers",FALSE
420,Social and community service managers,FALSE
425,Emergency Management Directors,FALSE
430,"Managers, all other",FALSE
500,"Agents and business managers of artists, performers, and athletes",TRUE
510,"Purchasing agents and buyers, farm products",TRUE
520,"Wholesale and retail buyers, except farm products",TRUE
530,"Purchasing agents, except wholesale, retail, and farm products",TRUE
540,"Claims adjusters, appraisers, examiners, and investigators",FALSE
550,Not used,FALSE
565,Compliance officers,FALSE
600,Cost estimators,FALSE
610,Not used,FALSE
630,Human resource workers,FALSE
640,"Compensation, benefits, and job analysis specialists",FALSE
650,Training and development specialists,FALSE
700,Logisticians,FALSE
710,Management analysts,FALSE
725,"Meeting, convention, and event planners",TRUE
726,Fundraisers,FALSE
735,Market research analysts and marketing specialists,FALSE
740,"Business operations specialists, all other",FALSE
800,Accountants and auditors,FALSE
810,Appraisers and assessors of real estate,FALSE
820,Budget analysts,FALSE
830,Credit analysts,FALSE
840,Financial analysts,FALSE
850,Personal financial advisors,TRUE
860,Insurance underwriters,FALSE
900,Financial examiners,FALSE
910,Loan counselors and officers,TRUE
920,Not used,FALSE
930,"Tax examiners, collectors, and revenue agents",FALSE
940,Tax preparers,TRUE
950,"Financial specialists, all other",FALSE
1000,Computer scientists and systems analysts,FALSE
1005,Computer and information research scientists,FALSE
1006,Computer systems analysts,FALSE
1007,Information security analysts,FALSE
1010,Computer programmers,FALSE
1020,"Software developers, applications and systems software",FALSE
1030,Web developers,FALSE
1050,Computer support specialists,FALSE
1060,Database administrators,FALSE
1105,Network and computer systems administrators,FALSE
1106,Computer network architects,FALSE
1107,"Computer occupations, all other",FALSE
1200,Actuaries,FALSE
1210,Mathematicians,FALSE
1220,Operations research analysts,FALSE
1230,Statisticians,FALSE
1240,Miscellaneous mathematical science occupations,FALSE
1300,"Architects, except naval",FALSE
1310,"Surveyors, cartographers, and photogrammetrists",FALSE
1320,Aerospace engineers,FALSE
1330,Agricultural engineers,FALSE
1340,Biomedical engineers,FALSE
1350,Chemical engineers,FALSE
1360,Civil engineers,FALSE
1400,Computer hardware engineers,FALSE
1410,Electrical and electronics engineers,FALSE
1420,Environmental engineers,FALSE
1430,"Industrial engineers, including health and safety",FALSE
1440,Marine engineers and naval architects,FALSE
1450,Materials engineers,FALSE
1460,Mechanical engineers,FALSE
1500,"Mining and geological engineers, including mining safety engineers",FALSE
1510,Nuclear engineers,FALSE
1520,Petroleum engineers,FALSE
1530,"Engineers, all other",FALSE
1540,Drafters,FALSE
1550,"Engineering technicians, except drafters",FALSE
1560,Surveying and mapping technicians,FALSE
1600,Agricultural and food scientists,FALSE
1610,Biological scientists,FALSE
1640,Conservation scientists and foresters,FALSE
1650,Medical scientists,FALSE
1660,"Life scientists, all other",FALSE
1700,Astronomers and physicists,FALSE
1710,Atmospheric and space scientists,FALSE
1720,Chemists and materials scientists,FALSE
1730,Not used,FALSE
1740,Environmental scientists and geoscientists,FALSE
1750,Not used,FALSE
1760,"Physical scientists, all other",FALSE
1800,Economists,FALSE
1815,Survey researchers,FALSE
1820,Psychologists,FALSE
1830,Sociologists,FALSE
1840,Urban and regional planners,FALSE
1850,Not used,FALSE
1860,Miscellaneous social scientists and related workers,FALSE
1900,Agricultural and food science technicians,FALSE
1910,Biological technicians,FALSE
1920,Chemical technicians,FALSE
1930,Geological and petroleum technicians,FALSE
1940,Nuclear technicians,FALSE
1950,Social science research assistants,FALSE
1965,"Miscellaneous life, physical, and social science technicians",FALSE
2000,Counselors,FALSE
2010,Social workers,FALSE
2015,Probation officers and correctional treatment specialists,FALSE
2016,Social and human service assistants,FALSE
2025,"Miscellaneous community and social service specialists, including health educators and community health workers",FALSE
2030,Not used,FALSE
2040,Clergy,FALSE
2050,"Directors, religious activities and education",FALSE
2060,"Religious workers, all other",FALSE
2100,"Lawyers, Judges, magistrates, and other judicial workers",FALSE
2105,Judicial law clerks,FALSE
2110,"Judges, magistrates, and other judicial workers",FALSE
2145,Paralegals and legal assistants,FALSE
2160,Miscellaneous legal support workers,FALSE
2200,Postsecondary teachers,FALSE
2300,Preschool and kindergarten teachers,FALSE
2310,Elementary and middle school teachers,FALSE
2320,Secondary school teachers,FALSE
2330,Special education teachers,FALSE
2340,Other teachers and instructors,FALSE
2400,"Archivists, curators, and museum technicians",FALSE
2430,Librarians,FALSE
2440,Library technicians,FALSE
2540,Teacher assistants,FALSE
2550,"Other education, training, and library workers",FALSE
2600,Artists and related workers,FALSE
2630,Designers,FALSE
2700,Actors,FALSE
2710,Producers and directors,FALSE
2720,"Athletes, coaches, umpires, and related workers",FALSE
2730,Not used,FALSE
2740,Dancers and choreographers,TRUE
2750,"Musicians, singers, and related workers",TRUE
2760,"Entertainers and performers, sports and related workers, all other",TRUE
2800,Announcers,FALSE
2810,"News analysts, reporters, and correspondents",FALSE
2825,Public relations specialists,FALSE
2830,Editors,FALSE
2840,Technical writers,FALSE
2850,Writers and authors,FALSE
2860,Miscellaneous media and communications workers,FALSE
2900,Broadcast and sound engineering technicians and radio operators,FALSE
2910,Photographers,TRUE
2920,"Television, video, and motion picture camera operators and editors",FALSE
2960,"Media and communications workers, all other",FALSE
3000,Chiropractors,FALSE
3010,Dentists,FALSE
3020,Not used,FALSE
3030,Dietitians and nutritionists,FALSE
3040,Optometrists,FALSE
3050,Pharmacists,FALSE
3060,Physicians and surgeons,FALSE
3110,Physician assistants,FALSE
3120,Podiatrists,FALSE
3140,Audiologists,FALSE
3150,Occupational therapists,FALSE
3160,Physical therapists,FALSE
3200,Radiation therapists,FALSE
3210,Recreational therapists,FALSE
3220,Respiratory therapists,FALSE
3230,Speech-language pathologists,FALSE
3235,Exercise Physiologists,FALSE
3245,"Therapists, all other",FALSE
3250,Veterinarians,FALSE
3255,Registered nurses,FALSE
3256,Nurse anesthetists,FALSE
3257,Nurse midwives,FALSE
3258,Nurse practitioners,FALSE
3260,"Health diagnosing and treating practitioners, all other",FALSE
3300,Clinical laboratory technologists and technicians,FALSE
3310,Dental hygienists,FALSE
3320,Diagnostic related technologists and technicians,FALSE
3400,Emergency medical technicians and paramedics,FALSE
3420,Health practitioner support technologists and technicians,FALSE
3500,Licensed practical and licensed vocational nurses,FALSE
3510,Medical records and health information technicians,FALSE
3520,"Opticians, dispensing",FALSE
3535,Miscellaneous health technologists and technicians,FALSE
3540,Other healthcare practitioners and technical occupations,FALSE
3600,"Nursing, psychiatric, and home health aides",FALSE
3610,Occupational therapist assistants and aides,FALSE
3620,Physical therapist assistants and aides,FALSE
3630,Massage therapists,FALSE
3640,Dental assistants,FALSE
3645,Medical assistants,FALSE
3646,Medical transcriptionists,FALSE
3647,Pharmacy aides,FALSE
3648,Veterinary assistants and labratory animal caretakers,FALSE
3649,Phlebotmists,FALSE
3655,"Miscellaneous healthcare support occupations, including medical equipment preparers",FALSE
3700,First-line supervisors/managers of correctional officers,FALSE
3710,First-line supervisors/managers of police and detectives,FALSE
3720,First-line supervisors/managers of fire fighting and preventions workers,FALSE
3730,"Supervisors, protective service workers, all other",FALSE
3740,Fire fighters,FALSE
3750,Fire inspectors,FALSE
3800,"Bailiffs, correctional officers, and jailers",FALSE
3810,Not used,FALSE
3820,Detectives and criminal investigators,FALSE
3830,Fish and game wardens,FALSE
3840,Parking enforcement workers,FALSE
3850,Police and sheriff's patrol officers,FALSE
3860,Transit and railroad police,FALSE
3900,Animal control workers,FALSE
3910,Private detectives and investigators,FALSE
3930,Security guards and gaming surveillance officers,FALSE
3940,Crossing guards,FALSE
3945,Transportation security screeners,FALSE
3955,"Lifeguards and other recreational, and all other protective service workers",FALSE
4000,Chefs and head cooks,FALSE
4010,First-line supervisors/managers of food preparation and serving workers,TRUE
4020,Cooks,FALSE
4030,Food preparation workers,TRUE
4040,Bartenders,TRUE
4050,"Combined food preparation and serving workers, including fast food",TRUE
4060,"Counter attendants, cafeteria, food concession, and coffee shop",TRUE
4110,Waiters and waitresses,TRUE
4120,"Food servers, nonrestaurant",TRUE
4130,"Dining room and cafeteria attendants, bartender helpers, and miscellaneous food preparation and serving related workers",TRUE
4140,Dishwashers,FALSE
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",TRUE
4160,"Food preparation and serving related workers, all other",TRUE
4200,First-line supervisors/managers of housekeeping and janitorial workers,FALSE
4210,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",FALSE
4220,Janitors and building cleaners,FALSE
4230,Maids and housekeeping cleaners,TRUE
4240,Pest control workers,FALSE
4250,Grounds maintenance workers,TRUE
4300,First-line supervisors/managers of gaming workers,FALSE
4310,Not used,FALSE
4320,First-line supervisors/managers of personal service workers,FALSE
4330,Not used,FALSE
4340,Animal trainers,FALSE
4350,Nonfarm animal caretakers,FALSE
4400,Gaming services workers,TRUE
4410,Motion picture projectionists,FALSE
4420,"Ushers, lobby attendants, and ticket takers",TRUE
4430,Miscellaneous entertainment attendants and related workers,TRUE
4460,Funeral service workers,FALSE
4465,"Morticians, undertakers, and funeral directors (2011 forward)",FALSE
4500,Barbers,TRUE
4510,"Hairdressers, hairstylists, and cosmetologists",TRUE
4520,Miscellaneous personal appearance workers,TRUE
4530,"Baggage porters, bellhops, and concierges",TRUE
4540,Tour and travel guides,TRUE
4550,Transportation attendants,TRUE
4600,Child care workers,FALSE
4610,Personal and home care aides,TRUE
4620,Recreation and fitness workers,FALSE
4630,Not used,FALSE
4640,Residential advisors,FALSE
4650,"Personal care and service workers, all other",TRUE
4700,First-line supervisors/managers of retail sales workers,TRUE
4710,First-line supervisors/managers of non-retail sales workers,TRUE
4720,Cashiers,TRUE
4730,Not used,FALSE
4740,Counter and rental clerks,TRUE
4750,Parts salespersons,TRUE
4760,Retail salespersons,TRUE
4800,Advertising sales agents,TRUE
4810,Insurance sales agents,TRUE
4820,"Securities, commodities, and financial services sales agents",TRUE
4830,Travel agents,TRUE
4840,"Sales representatives, services, all other",TRUE
4850,"Sales representatives, wholesale and manufacturing",TRUE
4900,"Models, demonstrators, and product promoters",TRUE
4910,Not used,FALSE
4920,Real estate brokers and sales agents,TRUE
4930,Sales engineers,TRUE
4940,Telemarketers,TRUE
4950,"Door-to-door sales workers, news and street vendors, and related workers",TRUE
4965,"Sales and related workers, all other",TRUE
5000,First-line supervisors/managers of office and administrative support workers,TRUE
5010,"Switchboard operators, including answering service",FALSE
5020,Telephone operators,FALSE
5030,"Communications equipment operators, all other",FALSE
5100,Bill and account collectors,TRUE
5110,Billing and posting clerks and machine operators,FALSE
5120,"Bookkeeping, accounting, and auditing clerks",FALSE
5130,Gaming cage workers,FALSE
5140,Payroll and timekeeping clerks,FALSE
5150,Procurement clerks,FALSE
5160,Tellers,FALSE
5165,"Financial clerks, all other",FALSE
5200,Brokerage clerks,FALSE
5210,Correspondence clerks,FALSE
5220,"Court, municipal, and license clerks",FALSE
5230,"Credit authorizers, checkers, and clerks",FALSE
5240,Customer service representatives,FALSE
5250,"Eligibility interviewers, government programs",FALSE
5260,File clerks,FALSE
5300,"Hotel, motel, and resort desk clerks",TRUE
5310,"Interviewers, except eligibility and loan",FALSE
5320,"Library assistants, clerical",FALSE
5330,Loan interviewers and clerks,FALSE
5340,New accounts clerks,FALSE
5350,Order clerks,FALSE
5360,"Human resources assistants, except payroll and timekeeping",FALSE
5400,Receptionists and information clerks,FALSE
5410,Reservation and transportation ticket agents and travel clerks,TRUE
5420,"Information and record clerks, all other",FALSE
5500,Cargo and freight agents,FALSE
5510,Couriers and messengers,TRUE
5520,Dispatchers,FALSE
5530,"Meter readers, utilities",FALSE
5540,Postal service clerks,FALSE
5550,Postal service mail carriers,TRUE
5560,"Postal service mail sorters, processors, and processing machine operators",FALSE
5600,"Production, planning and expediting clerks",FALSE
5610,"Shipping, receiving, and traffic clerks",FALSE
5620,Stock clerks and order fillers,FALSE
5630,"Weighers, measurers, checkers, and samplers, record keeping",FALSE
5700,Secretaries and administrative assistants,FALSE
5800,Computer operators,FALSE
5810,Data entry keyers,FALSE
5820,Word processors and typists,FALSE
5830,Desktop publishers,FALSE
5840,Insurance claims and policy processing clerks,FALSE
5850,"Mail clerks and mail machine operators, except postal service",FALSE
5860,"Office clerks, general",FALSE
5900,"Office machine operators, except computer",FALSE
5910,Proofreaders and copy markers,FALSE
5920,Statistical assistants,FALSE
5940,"Office and administrative support workers, all other",FALSE
6005,"First-line supervisors of farming, fishing, and forestry workers",FALSE
6010,Agricultural inspectors,FALSE
6020,Animal breeders,FALSE
6030,Not used,FALSE
6040,"Graders and sorters, agricultural products",FALSE
6050,Miscellaneous agricultural workers,FALSE
6100,Fishers and related fishing workers,FALSE
6110,Hunters and trappers,FALSE
6120,Forest and conservation workers,FALSE
6130,Logging workers,FALSE
6200,First-line supervisors/managers of construction trades and extraction workers,FALSE
6210,Boilermakers,FALSE
6220,"Brickmasons, blockmasons, and stonemasons",FALSE
6230,Carpenters,FALSE
6240,"Carpet, floor, and tile installers and finishers",TRUE
6250,"Cement masons, concrete finishers, and terrazzo workers",TRUE
6260,Construction laborers,FALSE
6300,"Paving, surfacing, and tamping equipment operators",FALSE
6310,Pile-driver operators,FALSE
6320,Operating engineers and other construction equipment operators,FALSE
6330,"Drywall installers, ceiling tile installers, and tapers",TRUE
6340,Not used,FALSE
6355,Electricians,FALSE
6360,Glaziers,FALSE
6400,Insulation workers,FALSE
6410,Not used,FALSE
6420,"Painters, construction and maintenance",TRUE
6430,Paperhangers,FALSE
6440,"Pipelayers, plumbers, pipefitters, and steamfitters",FALSE
6450,Not used,FALSE
6460,Plasterers and stucco masons,TRUE
6500,Reinforcing iron and rebar workers,FALSE
6515,Roofers,TRUE
6520,Sheet metal workers,FALSE
6530,Solar Photovoltaic Installers,FALSE
6540,Structural iron and steel workers,FALSE
6600,"Helpers, construction trades",FALSE
6660,Construction and building inspectors,FALSE
6700,Elevator installers and repairers,FALSE
6710,Fence erectors,FALSE
6720,Hazardous materials removal workers,FALSE
6730,Highway maintenance workers,FALSE
6740,Rail-track laying and maintenance equipment operators,FALSE
6750,Septic tank servicers and sewer pipe cleaners,FALSE
6765,Miscellaneous construction and related workers,FALSE
6800,"Derrick, rotary drill, and service unit operators, oil, gas, and mining",FALSE
6810,Not used,FALSE
6820,"Earth drillers, except oil and gas",FALSE
6830,"Explosives workers, ordnance handling experts, and blasters",FALSE
6840,Mining machine operators,FALSE
6910,"Roof bolters, mining",FALSE
6920,"Roustabouts, oil and gas",FALSE
6930,Helpers -- extraction workers,FALSE
6940,Other extraction workers,FALSE
7000,"First-line supervisors/managers of mechanics, installers, and repairers",FALSE
7010,"Computer, automated teller, and office machine repairers",FALSE
7020,Radio and telecommunications equipment installers and repairers,FALSE
7030,Avionics technicians,FALSE
7040,"Electric motor, power tool, and related repairers",FALSE
7050,"Electrical and electronics installers and repairers, transportation equipment",FALSE
7100,"Electrical and electronics repairers, industrial and utility",FALSE
7110,"Electronic equipment installers and repairers, motor vehicles",FALSE
7120,Electronic home entertainment equipment installers and repairers,TRUE
7130,Security and fire alarm systems installers,FALSE
7140,Aircraft mechanics and service technicians,FALSE
7150,Automotive body and related repairers,FALSE
7160,Automotive glass installers and repairers,FALSE
7200,Automotive service technicians and mechanics,TRUE
7210,Bus and truck mechanics and diesel engine specialists,FALSE
7220,Heavy vehicle and mobile equipment service technicians and mechanics,FALSE
7230,Not used,FALSE
7240,Small engine mechanics,TRUE
7250,Not used,FALSE
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",FALSE
7300,Control and valve installers and repairers,FALSE
7315,"Heating, air conditioning, and refrigeration mechanics and installers",FALSE
7320,Home appliance repairers,FALSE
7330,Industrial and refractory machinery mechanics,FALSE
7340,"Maintenance and repair workers, general",FALSE
7350,"Maintenance workers, machinery",FALSE
7360,Millwrights,FALSE
7410,Electrical power-line installers and repairers,FALSE
7420,Telecommunications line installers and repairers,FALSE
7430,Precision instrument and equipment repairers,FALSE
7440,Wind turbine service technicians,FALSE
7510,"Coin, vending, and amusement machine servicers and repairers",FALSE
7520,Commercial divers,FALSE
7530,Not used,FALSE
7540,Locksmiths and safe repairers,FALSE
7550,Manufactured building and mobile home installers,FALSE
7560,Riggers,FALSE
7600,Signal and track switch repairers,FALSE
7610,"Helpers--installation, maintenance, and repair workers",FALSE
7630,"Other installation, maintenance, and repair workers",FALSE
7700,First-line supervisors/managers of production and operating workers,FALSE
7710,"Aircraft structure, surfaces, rigging, and systems assemblers",FALSE
7720,"Electrical, electronics, and electromechanical assemblers",FALSE
7730,Engine and other machine assemblers,FALSE
7740,Structural metal fabricators and fitters,FALSE
7750,Miscellaneous assemblers and fabricators,FALSE
7800,Bakers,TRUE
7810,"Butchers and other meat, poultry, and fish processing workers",TRUE
7820,Not used,FALSE
7830,"Food and tobacco roasting, baking, and drying machine operators and tenders",FALSE
7840,Food batchmakers,FALSE
7850,Food cooking machine operators and tenders,FALSE
7855,"Food processing workers, all other",FALSE
7900,Computer control programmers and operators,FALSE
7910,Not used,FALSE
7920,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",FALSE
7930,"Forging machine setters, operators, and tenders, metal and plastic",FALSE
7940,"Rolling machine setters, operators, and tenders, metal and plastic",FALSE
7950,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",FALSE
7960,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",FALSE
8000,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",FALSE
8010,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",FALSE
8020,"Milling and planing machine setters, operators, and tenders, metal and plastic",FALSE
8030,Machinists,FALSE
8040,Metal furnace and kiln operators and tenders,FALSE
8050,Not used,FALSE
8060,"Model makers and patternmakers, metal and plastic",FALSE
8100,"Molders and molding machine setters, operators, and tenders, metal and plastic",FALSE
8110,Not used,FALSE
8120,"Multiple machine tool setters, operators, and tenders, metal and plastic",FALSE
8130,Tool and die makers,FALSE
8140,"Welding, soldering, and brazing workers",FALSE
8150,"Heat treating equipment setters, operators, and tenders, metal and plastic",FALSE
8160,"Lay-out workers, metal and plastic",FALSE
8200,"Plating and coating machine setters, operators, and tenders, metal and plastic",FALSE
8210,"Tool grinders, filers, and sharpeners",FALSE
8220,"Metalworkers and plastic workers,all others",FALSE
8250,Prepress technicians and workers,FALSE
8255,Printing machine operators,FALSE
8256,Print binding and finishing workers,FALSE
8300,Laundry and dry-cleaning workers,TRUE
8310,"Pressers, textile, garment, and related materials",TRUE
8320,Sewing machine operators,FALSE
8330,Shoe and leather workers and repairers,TRUE
8340,Shoe machine operators and tenders,FALSE
8350,"Tailors, dressmakers, and sewers",TRUE
8360,Textile bleaching and dyeing machine operators and tenders,FALSE
8400,"Textile cutting machine setters, operators, and tenders",FALSE
8410,"Textile knitting and weaving machine setters, operators, and tenders",FALSE
8420,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",FALSE
8430,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",FALSE
8440,Fabric and apparel patternmakers,FALSE
8450,Upholsterers,FALSE
8460,"Textile, apparel, and furnishings workers, all others",FALSE
8500,Cabinetmakers and bench carpenters,FALSE
8510,Furniture finishers,FALSE
8520,"Model makers and patternmakers, wood",FALSE
8530,"Sawing machine setters, operators, and tenders, wood",FALSE
8540,"Woodworking machine setters, operators, and tenders, except sawing",FALSE
8550,"Woodworkers, all others",FALSE
8600,"Power plant operators, distributors, and dispatchers",FALSE
8610,Stationary engineers and boiler operators,FALSE
8620,Water and liquid waste treatment plant and system operators,FALSE
8630,Miscellaneous plant and system operators,FALSE
8640,"Chemical processing machine setters, operators, and tenders",FALSE
8650,"Crushing, grinding, polishing, mixing, and blending workers",FALSE
8710,Cutting workers,FALSE
8720,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",FALSE
8730,"Furnace, kiln, oven, drier, and kettle operators and tenders",FALSE
8740,"Inspectors, testers, sorters, samplers, and weighers",FALSE
8750,Jewelers and precious stone and metal workers,FALSE
8760,"Medical, dental, and ophthalmic laboratory technicians",FALSE
8800,Packaging and filling machine operators and tenders,FALSE
8810,Painting workers,FALSE
8820,Not used,FALSE
8830,Photographic process workers and processing machine operators,FALSE
8840,Semiconductor processors,FALSE
8850,Cementing and gluing machine operators and tenders,FALSE
8860,"Cleaning, washing, and metal pickling equipment operators and tenders",FALSE
8900,Cooling and freezing equipment operators and tenders,FALSE
8910,Etchers and engravers,FALSE
8920,"Molders, shapers, and casters, except metal and plastic",FALSE
8930,"Paper goods machine setters, operators, and tenders",FALSE
8940,Tire builders,FALSE
8950,Helpers--production workers,FALSE
8965,"Production workers, all other",FALSE
9000,"Supervisors, transportation and material moving workers",FALSE
9030,Aircraft pilots and flight engineers,FALSE
9040,Air traffic controllers and airfield operations specialists,FALSE
9050,Flight attendants,FALSE
9110,"Ambulance drivers and attendants, except emergency medical technicians",FALSE
9120,Bus drivers,TRUE
9130,Driver/sales workers and truck drivers,FALSE
9140,Taxi drivers and chauffeurs,TRUE
9150,"Motor vehicle operators, all other",TRUE
9200,Locomotive engineers and operators,FALSE
9230,"Railroad brake, signal, and switch operators",FALSE
9240,Railroad conductors and yardmasters,FALSE
9250,Not used,FALSE
9260,"Subway, streetcar, and other rail transportation workers",FALSE
9300,Sailors and marine oilers,FALSE
9310,Ship and boat captains and operators,FALSE
9320,Not used,FALSE
9330,Ship engineers,FALSE
9340,Bridge and lock tenders,FALSE
9350,Parking lot attendants,TRUE
9360,Service station attendants,TRUE
9410,Transportation inspectors,FALSE
9415,"Transportation attendants, except flight attendants",TRUE
9420,Other transportation workers,TRUE
9500,Conveyor operators and tenders,FALSE
9510,Crane and tower operators,FALSE
9520,"Dredge, excavating, and loading machine operators",FALSE
9560,Hoist and winch operators,FALSE
9600,Industrial truck and tractor operators,FALSE
9610,Cleaners of vehicles and equipment,TRUE
9620,"Laborers and freight, stock, and material movers, hand",FALSE
9630,Machine feeders and offbearers,FALSE
9640,"Packers and packagers, hand",FALSE
9650,Pumping station operators,FALSE
9720,Refuse and recyclable material collectors,FALSE
9730,Shuttle car operators,FALSE
9740,"Tank car, truck, and ship loaders",FALSE
9750,"Material moving workers, all other",FALSE
9840,Armed forces,FALSE
